"variable","agg_method"
"T2","mean"
"Q2","mean"
"U10","wind"
"V10","wind"
"SLP","mean"
"PSFC","mean"
"PRCP","sum"
"PRCP_NC","sum"
"PRCP_C","sum"
"SNOWFALL","sum"
"GRAUPEL","sum"
"HAIL","sum"
"PRCP_FR","sum"
"SR","no"
"NETRAD","mean"
"SWDOWN","mean"
"SWUP","mean"
"ALBEDO","mean"
"TSK","mean"
"LWUP","mean"
"EMISS","mean"
"LWDOWN","mean"
"GRDFLX","mean"
"HFX","mean"
"LH","mean"
"UST","mean"
"SNOWH","mean"
"SNOW","mean"
"SST","mean"
"PBLH","mean"
"POTEVAP","sum"
"CANWAT","mean"
"QFX","sum"
"SFROFF","sum"
"UDROFF","sum"
